"","Group","Segment - Elastic","Between","Flow","Subtree - Elastic","Between","Flow"
"1","all-tree","33","33","11","33","33","44"
"2","cherry","44","22","44","33","0","56"
"3","apple","11","33","0","22","44","44"
"4","all-branch","11","33","11","0","33","11"
"5","cherry","0","33","0","0","33","11"
"6","apple","11","11","22","11","33","11"
"7","Bud.9","44","11","44","22","22","22"
"8","CG.3041","33","11","22","33","44","33"
"9","CG.6210","22","11","33","22","33","22"
"10","M.26","33","11","33","33","22","33"
"11","JM.8","22","0","22","33","22","33"
"12","PiAu.5683","11","11","0","22","22","22"
"13","Bud.9-1","44","22","78","33","11","56"
"14","Bud.9-2","56","11","89","33","22","56"
"15","Bud.9-3","89","0","78","33","33","44"
"16","Bud.9-4","56","11","56","33","22","33"
"17","CG.3041-1","56","11","56","33","44","44"
"18","CG.3041-2","67","22","67","33","33","44"
"19","CG.3041-3","78","44","56","33","33","44"
"20","CG.3041-4","33","0","33","44","22","33"
"21","CG.6210-1","33","11","44","33","22","44"
"22","CG.6210-2","44","11","44","11","22","22"
"23","CG.6210-3","56","11","44","44","22","44"
"24","CG.6210-4","33","11","33","44","22","33"
"25","M.26","33","11","33","33","22","33"
"26","JM.8-1","22","0","22","44","22","33"
"27","JM.8-2","44","11","33","33","44","44"
"28","JM.8-3","22","11","22","33","22","44"
"29","PiAu.5683-1","22","11","22","33","22","33"
"30","PiAu.5683-2","33","0","44","44","22","44"
"31","PiAu.5683-3","22","11","22","33","22","33"
"32","cherry-1","44","11","33","33","22","56"
"33","cherry-2","33","22","22","33","33","22"
"34","cherry-3","11","11","11","11","22","22"
"35","cherry-4","22","22","22","33","33","33"
"36","cherry-5","33","11","33","33","33","44"
