"stem","aka","n","diam.cm","hdiam.um","species","totarea.um","dens.um"
"gold1","Tree1=5.20",993,18.8,45.9307929217847,"gold",11073653.4932495,8.96723019738096e-05
"gold10","",294,0.35,20.578775659144,"gold",521670.404801575,0.000563574236326147
"gold11","",1647,1.01,26.3894718654531,"gold",5342265.00136499,0.000308296200128444
"gold12","",1310,0.71,19.3153095296918,"gold",4310621.88639122,0.000303900465994411
"gold13","",1747,1.81,30.5203971299637,"gold",7710945.53697705,0.000226561060718487
"gold2","Tree2=7.9",1054,11.5,41.4331017996402,"gold",9313956.78198686,0.000113163505550985
"gold3","Tree3=7.8",450,12.9,38.1918199289004,"gold",3792769.94182771,0.00011864679558791
"gold4","Tree4=8.9",408,16.8,41.7450171504973,"gold",3728657.88888235,0.00010942274999713
"gold5","Tree5=4.8",923,10.4,35.9227707375558,"gold",4688879.55743484,0.000196848732984933
"gold6","",350,0.94,24.3521276049457,"gold",752454.420237511,0.000465144453386988
"gold7","",633,0.51,20.1181834573896,"gold",2626223.09161448,0.000241030551449024
"gold8","",633,3.21,30.8547465868064,"gold",2945189.2817615,0.000214926763423981
"gold9","",348,0.3,16.9512863932198,"gold",540526.50191474,0.000643816720858753
"sour1","",591,19.2,42.6439090571283,"sour",2111084.94623473,0.000279950838100613
"sour10","",194,0.19,14.842781163469,"sour",180266.04888057,0.00107618712011894
"sour11","",333,0.43,21.3848058558422,"sour",463332.642798543,0.00071870610710411
"sour12","",62,0.34,20.1895731774177,"sour",73177.8743629754,0.000847250627866955
"sour13","",149,0.13,13.4956050253394,"sour",127228.351899631,0.00117112261359437
"sour2","",499,4.6,33.1827763564667,"sour",1364558.3999055,0.000365686071064865
"sour3","",260,9.5,33.6989545621421,"sour",914766.269116007,0.000284225609074167
"sour4","",1003,1.81,28.7220243229314,"sour",2096295.06763878,0.000478463177957936
"sour5","",85,0.61,22.7593882374519,"sour",114166.105932117,0.000744529204232833
"sour6","",250,0.48,21.5550788187313,"sour",417094.403095566,0.00059938469119836
"sour7","",86,0.26,19.7522023208476,"sour",120256.813018084,0.000715136197622897
"sour8","",204,0.48,19.1071627840026,"sour",314839.629024521,0.000647948927624076
"sour9","",157,0.15,14.9800251443552,"sour",134815.521183677,0.00116455433782063
