"","n","a","r"
"1",1,0,20
"2",2,1,6
"3",3,2,1
"4",4,2,5
"5",5,3,1
"6",6,4,5
"7",7,6,1
"8",8,6,4
"9",9,8,1
"10",10,8,1
"11",11,8,2
"12",12,11,1
"13",13,11,1
"14",14,1,1
"15",15,1,3
"16",16,15,1
"17",17,15,2
"18",18,17,2
"19",19,18,1
"20",20,18,1
"21",21,1,3
"22",22,21,1
"23",23,21,2
"24",24,23,1
"25",25,23,1
"26",26,1,7
"27",27,26,1
"28",28,27,1
"29",29,28,1
"30",30,26,1
"31",31,26,5
"32",32,31,1
"33",33,31,1
"34",34,31,1
"35",35,31,2
"36",36,35,1
"37",37,35,1
"38",38,37,1
"39",40,39,1
"40",41,37,0
"41",42,41,0
"42",43,41,0
"43",44,43,0
"44",45,43,0
"45",46,45,0
"46",47,45,0
