"","block","tree","trunk","avg_scaffold_l","avg_scaffold_d","avg_absorbed","avg_extinction","avg_extinction_low","avg_extinction_high","avg_sugar"
"1",1,1,184,408,113,0.698,1.49,-0.012,1.674,10.44
"2",1,2,160,344,103,0.762,1.639,1.347,1.606,8.28
"3",1,3,185,388,133,0.638,1.235,0.956,1.35,9.2
"4",1,4,155,359,104,0.644,1.143,1.169,0.828,11.56
"5",1,5,180,418,127,0.87,2.322,3.072,1.585,9.76
"6",2,1,121,249,81,0.889,2.313,2.409,2.22,13.24
"7",2,2,104,209,67,0.837,1.918,2.203,1.561,14.36
"8",2,3,106,240,65,0.919,2.626,2.404,2.926,12.3
"9",2,4,100,222,65,0.791,1.647,1.853,1.39,13.8
"10",2,5,110,271,71,0.808,1.675,1.687,1.61,14.04
"11",3,1,265,481,164,0.731,1.423,1.659,1.292,9.8
"12",3,2,211,456,133,0.787,1.793,1.72,1.946,9.76
"13",3,3,204,421,140,0.71,1.429,1.499,1.16,8.1
"14",3,4,205,411,133,0.7,1.378,1.452,1.22,9.76
"15",3,5,202,411,131,0.854,2.191,2.559,1.787,9.24
"16",4,1,243,392,165,0.863,2.462,2.576,2.305,10.12
"17",4,2,257,529,201,0.936,3.131,3.611,2.4,10.9
"18",4,3,196,390,150,0.872,2.587,2.305,2.48,11
"19",4,4,235,423,150,0.919,2.949,3.473,2.48,10.08
"20",4,5,201,414,146,0.695,1.66,1.64,1.652,10.08
"21",5,1,175,286,120,0.668,1.253,1.523,0.952,9.88
"22",5,2,190,353,141,0.881,2.318,2.313,2.353,11.9
"23",5,3,164,344,120,0.832,2.291,2.878,2.12,10.8
"24",5,4,148,324,105,0.777,2.069,2.76,1.381,11.56
"25",5,5,194,404,144,0.8,1.896,2.299,1.654,10.04
"26",6,1,96,201,69,0.48,0.876,1.453,0.355,14.92
"27",6,2,113,228,82,NA,NA,NA,NA,NA
"28",6,3,120,242,92,0.721,1.448,1.813,1.007,13.56
"29",6,4,128,254,98,0.684,1.498,1.801,0.994,13.68
"30",6,5,130,252,97,0.711,1.521,1.695,1.423,12.72
"31",7,1,190,366,138,0.7,1.294,1.368,1.203,11.85
"32",7,2,187,372,121,0.711,1.346,1.681,0.934,10.04
"33",7,3,218,384,139,0.623,1.056,1.214,0.807,10
"34",7,4,186,372,122,0.719,1.828,1.73,1.69,10.4
"35",7,5,202,395,133,0.838,2.157,2.191,1.964,8.84
"36",8,1,137,278,95,0.713,1.832,1.632,1.62,13.88
"37",8,2,134,262,98,0.716,1.655,2.046,1.199,11.76
"38",8,3,126,262,94,0.736,1.638,1.703,1.353,12.72
"39",8,4,132,285,100,0.758,1.979,2.076,1.635,12.64
"40",8,5,124,266,91,0.654,1.504,1.801,1.021,13.32
"41",9,1,224,432,144,0.605,1.181,1.284,1.056,10.64
"42",9,2,194,354,124,0.739,1.719,1.732,1.613,11.28
"43",9,3,214,413,138,0.668,1.347,1.447,1.079,11.2
"44",9,4,224,465,155,0.784,1.972,2.037,2.164,9.6
"45",9,5,242,428,155,0.766,1.58,1.563,1.465,10.16
"46",10,1,128,272,52,0.859,2.627,3.043,2.231,11.64
"47",10,2,140,296,87,0.931,3.027,3.256,1.484,12
"48",10,3,126,258,82,0.894,2.967,3.438,2.451,12
"49",10,4,129,262,86,0.737,1.806,2.237,1.245,11.28
"50",10,5,117,246,85,0.941,3.007,3.212,2.633,11.64
"51",11,1,168,358,111,0.89,2.524,3.202,2.02,8.96
"52",11,2,160,336,102,0.901,2.529,2.976,2.072,8.56
"53",11,3,172,357,108,0.876,2.278,2.316,2.091,9.52
"54",11,4,160,361,105,0.813,1.918,2.32,1.205,9.44
"55",11,5,186,378,132,0.871,2.309,2.445,2.133,8.92
"56",12,1,190,435,144,0.848,2.069,1.872,2.202,8.16
"57",12,2,193,366,154,0.776,1.81,1.93,1.77,10.48
"58",12,3,189,388,114,0.841,1.94,1.918,1.922,8.92
"59",12,4,210,439,146,0.789,1.613,1.719,1.6,9.56
"60",12,5,188,408,120,0.731,1.425,1.554,1.266,9.72
"61",13,1,89,206,62,0.721,1.349,1.255,1.201,12.8
"62",13,2,90,208,65,0.568,0.96,1.327,0.492,14.28
"63",13,3,82,204,56,0.646,1.258,1.374,0.722,13.96
"64",13,4,85,209,61,0.529,0.891,1.121,0.399,14.6
"65",13,5,95,236,70,0.622,1.194,1.542,0.577,13
"66",14,1,178,351,124,0.62,1.036,1.031,0.948,10.28
"67",14,2,204,333,132,0.402,0.564,0.53,0.368,11.16
"68",14,3,205,343,125,0.564,1.063,1.175,0.593,12.04
"69",14,4,203,363,118,0.715,1.462,1.939,1.077,10.48
"70",14,5,205,333,148,0.595,1.149,1.129,0.622,12.32
"71",15,1,122,276,94,0.857,2.146,2.336,1.73,9.2
"72",15,2,125,280,94,0.839,1.996,2.132,1.794,9.6
"73",15,3,137,330,96,0.717,1.354,1.218,1.348,10.36
"74",15,4,141,294,104,0.63,1.168,1.537,0.758,10.8
"75",15,5,158,324,122,0.644,1.346,0.997,1.476,10
